Position,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted
TE,Iowa,76,249,4.5,39.5,20,127,6.81,4.22,Y
DE,Missouri,75,245,4.68,,21,,,,Y
QB,Memphis,79,244,4.86,36,,118,7.14,4.26,Y
DE,North Carolina State,76,269,4.65,36,24,121,7.37,4.41,Y
WR,SMU,75,218,4.54,35.5,18,124,6.57,4.11,Y
OT,Kansas State,77,312,5.3,28.5,23,110,7.69,4.52,Y
QB,Missouri,76,228,4.69,31,,112,7.03,4.12,Y
WR,Penn State,69,178,,,15,,,,Y
DE,Florida State,76,280,,,18,,,,Y
OT,Colorado State,78,311,5.36,29,23,97,7.54,4.58,Y
DT,Georgia Tech,76,287,4.88,,,,,,Y
RB,Oregon,71,229,4.54,34,17,118,6.9,4.16,Y
DL,Ohio State,75,281,5.12,31.5,,110,7.71,4.53,Y
CB,Iowa,73,200,4.45,36,,122,6.87,4.21,Y
WR,Louisiana Tech,71,199,4.46,36,13,131,7.18,4.35,Y
OL,LSU,75,312,5.27,,25,,,,Y
TE,Ohio State,77,254,4.81,,26,,,,Y
DL,Arkansas,75,309,4.98,,27,,,,Y
S,Boston Col.,74,202,4.61,40,16,126,6.58,3.85,Y
CB,Boston Col.,73,190,4.52,,8,120,,4.18,Y
ILB,Iowa,73,234,4.82,33,18,117,6.8,4.27,Y
WR,Penn State,73,203,,34.5,,118,6.84,4.15,Y
TE,Missouri,77,258,4.49,,,,,,Y
C,Florida,76,309,5.24,,,,,,Y
RB,Utah,71,219,4.56,,22,,,,Y
OG,Missouri,76,306,5.11,33,33,109,7.5,4.65,Y
TE,Michigan,77,246,,,,,,,Y
TE,Wisconsin,77,247,,,14,,,,Y
EDGE,Oregon,77,248,4.5,36.5,25,119,7.06,4.4,Y
CB,Tulane,70,182,4.5,33.5,9,115,7.2,4.26,Y
WR,Georgia,67,173,4.42,36,11,123,6.64,4.15,Y
LB,Wake Forest,75,238,4.74,29,,113,,4.49,Y
FB,Nebraska,73,238,4.81,34,30,119,7.28,4.32,Y
OL,Fresno State,75,315,,,44,,,,Y
OG,Arizona State,77,305,5.32,27,28,101,7.92,4.86,Y
ILB,Washington,74,230,4.79,30.5,21,117,7.26,,Y
P,Syracuse,76,221,5.04,,,,,,Y
WR,Florida,74,209,4.46,39.5,13,126,,,Y
DL,North Dakota State,76,251,4.79,33.5,24,120,6.87,4.34,Y
OT,Ohio State,79,310,5.23,29,20,101,7.7,4.76,Y
C,Arkansas,77,312,,,26,,,,Y
ILB,Florida,73,238,,,,,,,Y
OG,Duke,75,323,5.33,31.5,25,103,8.17,4.87,Y
CB,Ohio State,73,205,4.48,41,11,135,,,Y
TE,Iowa,77,251,4.7,37.5,17,123,7.02,4.18,Y
RB,Georgia,68,212,4.48,35.5,,121,,,Y
RB,Auburn,71,213,,40,11,126,7.07,4.29,Y
LB,Hawaii,74,250,,,,,,,Y
DT,Alabama,76,307,5.2,26,22,106,7.8,4.74,Y
CB,Florida,73,199,4.62,31,9,120,,,Y
RB,Nebraska,69,205,4.6,42.5,24,130,6.79,3.95,Y
DL,Notre Dame,76,252,,,27,,,,Y
OL,Ohio State,75,306,5.23,26,28,98,7.83,5.02,Y
CB,Stanford,73,196,4.51,40,17,121,7.05,4.07,Y
S,Boston Col.,73,207,4.41,36.5,20,123,6.91,4.12,Y
C,Michigan,78,307,5.13,25,23,106,7.63,4.63,Y
WR,Northern Illinois,76,218,4.5,35.5,18,120,7,4.15,Y
S,Southern Utah,74,217,4.65,38,22,127,6.93,4.18,Y
DT,Auburn,75,300,5.07,26.5,34,100,7.73,4.56,Y
EDGE,Clemson,76,271,,,,,,,Y
